id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
38.0,Uniswap  UNI,"R$ 36,53",0.2%,6.6%,8.0%,10.8%,R$ 2.486.835.243,R$ 21.949.088.438,R$ 36.552.384.904,6.0
39.0,Bittensor  TAO,"R$ 2.460,25",0.2%,3.7%,5.0%,26.0%,R$ 727.707.050,R$ 21.462.591.345,R$ 51.665.434.002,42.0
40.0,Dai  DAI,"R$ 5,67",0.0%,0.0%,0.0%,0.0%,R$ 312.325.812,R$ 21.042.190.038,R$ 21.042.190.038,10.0
41.0,NEAR Protocol  NEAR,"R$ 15,68",0.0%,3.4%,0.1%,6.1%,R$ 1.014.473.593,R$ 19.116.574.206,R$ 19.639.290.660,97.0
42.0,Aptos  APT,"R$ 30,00",0.2%,3.8%,2.5%,5.7%,R$ 1.034.233.013,R$ 18.992.000.901,R$ 34.579.484.987,55.0
43.0,Jito Staked SOL  JITOSOL,"R$ 1.194,80",0.2%,2.0%,5.6%,18.0%,R$ 253.647.620,R$ 18.062.145.942,R$ 18.062.145.942,10.0
44.0,OKB  OKB,"R$ 296,00",0.1%,0.6%,0.1%,0.9%,R$ 25.089.151,R$ 17.760.931.542,R$ 69.847.138.256,25.0
45.0,Ondo  ONDO,"R$ 5,31",0.1%,2.1%,1.0%,6.1%,R$ 744.416.508,R$ 16.776.521.677,R$ 53.105.256.858,32.0
46.0,BlackRock USD Institutional Digital Liquidity Fund  BUIDL,"R$ 5,67",0.0%,0.0%,0.0%,0.0%,"$0,00",R$ 16.575.807.279,R$ 16.575.807.279,10.0
47.0,Cronos  CRO,"R$ 0,5501",0.0%,2.6%,1.0%,5.8%,R$ 121.634.056,R$ 16.426.798.732,R$ 53.774.861.650,31.0
48.0,Tokenize Xchange  TKX,"R$ 203,02",0.2%,9.7%,1.7%,11.2%,R$ 81.377.970,R$ 16.195.951.302,R$ 20.245.951.665,8.0
49.0,Internet Computer  ICP,"R$ 29,95",0.4%,3.6%,0.7%,0.4%,R$ 367.964.350,R$ 15.978.464.322,R$ 15.978.501.674,10.0
50.0,Ethereum Classic  ETC,"R$ 103,08",0.3%,0.9%,1.2%,6.2%,R$ 330.243.932,R$ 15.675.234.824,R$ 15.675.234.824,10.0
51.0,Kaspa  KAS,"R$ 0,5907",0.1%,0.4%,3.1%,3.7%,R$ 301.275.785,R$ 15.487.189.989,R$ 15.490.318.000,10.0
52.0,Ethena Staked USDe  SUSDE,"R$ 6,66",0.0%,0.0%,0.1%,0.5%,R$ 104.825.985,R$ 15.088.732.696,R$ 15.088.732.696,10.0
53.0,Gate  GT,"R$ 119,67",0.0%,0.3%,1.4%,6.4%,R$ 65.072.023,R$ 14.524.374.580,R$ 35.901.753.095,4.0
54.0,Official Trump  TRUMP,"R$ 72,40",0.8%,1.9%,1.1%,17.1%,R$ 3.234.619.132,R$ 14.494.335.774,R$ 72.471.687.628,2.0
55.0,Mantle  MNT,"R$ 4,16",0.0%,0.1%,0.4%,1.1%,R$ 955.392.442,R$ 14.004.822.444,R$ 25.886.579.144,54.0
56.0,Render  RENDER,"R$ 26,71",0.0%,3.3%,2.6%,6.3%,R$ 660.163.567,R$ 13.819.690.496,R$ 14.213.691.828,97.0
57.0,VeChain  VET,"R$ 0,1559",0.0%,3.3%,1.7%,1.9%,R$ 278.592.975,R$ 13.405.338.411,R$ 13.405.338.411,10.0
58.0,Artificial Superintelligence Alliance  FET,"R$ 5,01",0.8%,10.3%,19.3%,14.2%,R$ 1.594.731.747,R$ 13.076.008.703,R$ 13.625.835.989,96.0
59.0,sUSDS  SUSDS,"R$ 5,97",0.0%,0.0%,0.1%,0.4%,R$ 46.086.338,R$ 12.728.111.162,R$ 12.728.111.162,10.0
60.0,Ethena  ENA,"R$ 2,15",1.2%,6.2%,2.7%,5.6%,R$ 1.396.811.603,R$ 12.508.667.962,R$ 32.237.104.009,39.0
61.0,Cosmos Hub  ATOM,"R$ 27,14",0.1%,2.5%,0.4%,1.7%,R$ 692.764.521,R$ 12.247.745.987,R$ 12.247.745.987,10.0
62.0,USD1  USD1,"R$ 5,68",0.1%,0.0%,0.1%,0.1%,R$ 2.162.359.231,R$ 12.212.949.558,R$ 12.212.949.558,10.0
63.0,Worldcoin  WLD,"R$ 7,71",0.4%,1.6%,20.2%,19.3%,R$ 2.049.498.619,R$ 11.790.685.724,R$ 77.118.723.313,15.0
64.0,Lombard Staked BTC  LBTC,R$ 619.594,0.1%,2.4%,4.4%,16.1%,R$ 66.367.911,R$ 11.729.624.835,R$ 11.729.624.835,10.0
65.0,POL (ex-MATIC)  POL,"R$ 1,31",0.3%,0.3%,1.6%,7.0%,R$ 397.474.123,R$ 11.650.894.304,R$ 13.632.097.580,85.0
66.0,Arbitrum  ARB,"R$ 2,22",0.2%,2.2%,0.4%,11.6%,R$ 1.006.769.215,R$ 10.789.061.406,R$ 22.191.509.119,49.0
67.0,Fasttoken  FTN,"R$ 25,03",0.2%,0.2%,0.4%,3.1%,R$ 323.515.219,R$ 10.749.569.412,R$ 21.759.933.546,49.0
68.0,Algorand  ALGO,"R$ 1,23",0.2%,0.9%,2.2%,5.9%,R$ 328.008.964,R$ 10.595.437.986,R$ 10.599.389.443,10.0
69.0,Filecoin  FIL,"R$ 15,78",0.4%,0.8%,4.1%,2.9%,R$ 756.047.936,R$ 10.551.388.090,R$ 30.925.549.059,34.0
70.0,Jupiter  JUP,"R$ 3,49",0.1%,18.0%,25.7%,27.8%,R$ 1.263.986.317,R$ 10.108.469.063,R$ 24.415.073.849,41.0
71.0,Celestia  TIA,"R$ 14,74",0.4%,5.1%,1.7%,9.8%,R$ 696.354.312,R$ 9.579.783.625,R$ 16.582.719.380,58.0
72.0,First Digital USD  FDUSD,"R$ 5,66",0.1%,0.2%,0.4%,0.1%,R$ 19.639.299.141,R$ 9.315.852.618,R$ 9.315.852.618,10.0
73.0,Jupiter Perpetuals Liquidity Provider Token  JLP,"R$ 26,27",0.2%,1.0%,2.6%,12.6%,R$ 229.567.455,R$ 9.120.842.538,R$ 9.120.842.538,10.0
74.0,Bonk  BONK,"R$ 0,0001137",0.4%,2.6%,1.4%,6.7%,R$ 2.075.415.646,R$ 8.806.030.160,R$ 10.101.857.861,87.0
75.0,Binance-Peg WETH  WETH,"R$ 14.422,52",0.1%,1.0%,1.2%,40.9%,R$ 201.397.939,R$ 8.725.622.861,R$ 8.725.622.861,10.0
76.0,Binance Staked SOL  BNSOL,"R$ 1.042,20",1.0%,2.2%,5.3%,17.7%,R$ 8.166.062,R$ 8.641.018.429,R$ 8.641.018.429,10.0
77.0,Quant  QNT,"R$ 552,11",1.4%,4.8%,4.5%,29.5%,R$ 105.377.701,R$ 8.011.894.418,R$ 8.049.527.850,10.0
78.0,KuCoin  KCS,"R$ 63,95",0.4%,0.7%,3.8%,6.8%,R$ 16.029.690,R$ 7.994.934.066,R$ 9.114.197.974,88.0
79.0,Sonic (prev. FTM)  S,"R$ 2,51",0.1%,0.6%,11.1%,17.3%,R$ 548.072.736,R$ 7.968.132.325,R$ 7.968.132.325,10.0
80.0,Fartcoin  FARTCOIN,"R$ 7,93",0.8%,1.1%,12.1%,34.2%,R$ 793.569.001,R$ 7.917.997.298,R$ 7.917.997.298,10.0
81.0,Virtuals Protocol  VIRTUAL,"R$ 12,09",0.0%,13.5%,9.0%,100.0%,R$ 1.912.763.635,R$ 7.915.181.998,R$ 12.092.139.129,65.0
